"R.native","Desc","Bytestring","status","OriginalOrder"
"🧑🏽‍❤️‍💋‍🧑🏿","Kiss:_Person,_Person,_Medium_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF","fully-qualified",3243
"🧑🏽‍❤️‍💋‍🧑🏾","Kiss:_Person,_Person,_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE","fully-qualified",3241
"🧑🏽‍❤️‍💋‍🧑🏼","Kiss:_Person,_Person,_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC","fully-qualified",3239
"🧑🏽‍❤️‍💋‍🧑🏻","Kiss:_Person,_Person,_Medium_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB","fully-qualified",3237
"🧑🏼‍❤️‍💋‍🧑🏿","Kiss:_Person,_Person,_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF","fully-qualified",3235
"🧑🏼‍❤️‍💋‍🧑🏾","Kiss:_Person,_Person,_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE","fully-qualified",3233
"🧑🏼‍❤️‍💋‍🧑🏽","Kiss:_Person,_Person,_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD","fully-qualified",3231
"🧑🏼‍❤️‍💋‍🧑🏻","Kiss:_Person,_Person,_Medium-Light_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB","fully-qualified",3229
"🧑🏻‍❤️‍💋‍🧑🏿","Kiss:_Person,_Person,_Light_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF","fully-qualified",3227
"🧑🏻‍❤️‍💋‍🧑🏾","Kiss:_Person,_Person,_Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE","fully-qualified",3225
"🧑🏻‍❤️‍💋‍🧑🏽","Kiss:_Person,_Person,_Light_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD","fully-qualified",3223
"🧑🏻‍❤️‍💋‍🧑🏼","Kiss:_Person,_Person,_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC","fully-qualified",3221
"👩🏿‍❤‍💋‍👩🏿","Kiss:_Woman,_Woman,_Dark_Skin_Tone","1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FF","minimally-qualified",3416
"👩🏿‍❤‍💋‍👩🏾","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FE","minimally-qualified",3414
