"R.native","Desc","Bytestring","status","OriginalOrder"
"🫲🏽","Leftwards_Hand:_Medium_Skin_Tone","1FAF2 1F3FD","fully-qualified",228
"🫲🏼","Leftwards_Hand:_Medium-Light_Skin_Tone","1FAF2 1F3FC","fully-qualified",227
"🫲🏻","Leftwards_Hand:_Light_Skin_Tone","1FAF2 1F3FB","fully-qualified",226
"🫱🏿","Rightwards_Hand:_Dark_Skin_Tone","1FAF1 1F3FF","fully-qualified",224
"🫱🏾","Rightwards_Hand:_Medium-Dark_Skin_Tone","1FAF1 1F3FE","fully-qualified",223
"🫱🏽","Rightwards_Hand:_Medium_Skin_Tone","1FAF1 1F3FD","fully-qualified",222
"🫱🏼","Rightwards_Hand:_Medium-Light_Skin_Tone","1FAF1 1F3FC","fully-qualified",221
"🫱🏻","Rightwards_Hand:_Light_Skin_Tone","1FAF1 1F3FB","fully-qualified",220
"🖖🏿","Vulcan_Salute:_Dark_Skin_Tone","1F596 1F3FF","fully-qualified",218
"🖖🏾","Vulcan_Salute:_Medium-Dark_Skin_Tone","1F596 1F3FE","fully-qualified",217
"🖖🏽","Vulcan_Salute:_Medium_Skin_Tone","1F596 1F3FD","fully-qualified",216
"🖖🏼","Vulcan_Salute:_Medium-Light_Skin_Tone","1F596 1F3FC","fully-qualified",215
"🖖🏻","Vulcan_Salute:_Light_Skin_Tone","1F596 1F3FB","fully-qualified",214
"✋🏿","Raised_Hand:_Dark_Skin_Tone","270B 1F3FF","fully-qualified",212
"✋🏾","Raised_Hand:_Medium-Dark_Skin_Tone","270B 1F3FE","fully-qualified",211
"✋🏽","Raised_Hand:_Medium_Skin_Tone","270B 1F3FD","fully-qualified",210
"✋🏼","Raised_Hand:_Medium-Light_Skin_Tone","270B 1F3FC","fully-qualified",209
"✋🏻","Raised_Hand:_Light_Skin_Tone","270B 1F3FB","fully-qualified",208
"🖐🏿","Hand_With_Fingers_Splayed:_Dark_Skin_Tone","1F590 1F3FF","fully-qualified",206
"🖐🏾","Hand_With_Fingers_Splayed:_Medium-Dark_Skin_Tone","1F590 1F3FE","fully-qualified",205
"🖐🏽","Hand_With_Fingers_Splayed:_Medium_Skin_Tone","1F590 1F3FD","fully-qualified",204
"🖐🏼","Hand_With_Fingers_Splayed:_Medium-Light_Skin_Tone","1F590 1F3FC","fully-qualified",203
"🖐🏻","Hand_With_Fingers_Splayed:_Light_Skin_Tone","1F590 1F3FB","fully-qualified",202
"🖐️","Hand_With_Fingers_Splayed","1F590 FE0F","fully-qualified",200
"🤚🏿","Raised_Back_Of_Hand:_Dark_Skin_Tone","1F91A 1F3FF","fully-qualified",199
"🤚🏾","Raised_Back_Of_Hand:_Medium-Dark_Skin_Tone","1F91A 1F3FE","fully-qualified",198
"🤚🏽","Raised_Back_Of_Hand:_Medium_Skin_Tone","1F91A 1F3FD","fully-qualified",197
"🤚🏼","Raised_Back_Of_Hand:_Medium-Light_Skin_Tone","1F91A 1F3FC","fully-qualified",196
"🤚🏻","Raised_Back_Of_Hand:_Light_Skin_Tone","1F91A 1F3FB","fully-qualified",195
"👋🏿","Waving_Hand:_Dark_Skin_Tone","1F44B 1F3FF","fully-qualified",193
"👋🏾","Waving_Hand:_Medium-Dark_Skin_Tone","1F44B 1F3FE","fully-qualified",192
"👋🏽","Waving_Hand:_Medium_Skin_Tone","1F44B 1F3FD","fully-qualified",191
"👋🏼","Waving_Hand:_Medium-Light_Skin_Tone","1F44B 1F3FC","fully-qualified",190
"👋🏻","Waving_Hand:_Light_Skin_Tone","1F44B 1F3FB","fully-qualified",189
"🗯️","Right_Anger_Bubble","1F5EF FE0F","fully-qualified",184
"🗨️","Left_Speech_Bubble","1F5E8 FE0F","fully-qualified",182
"🕳️","Hole","1F573 FE0F","fully-qualified",175
"❤️","Red_Heart","2764 FE0F","fully-qualified",154
"❣️","Heart_Exclamation","2763 FE0F","fully-qualified",147
"☠️","Skull_And_Crossbones","2620 FE0F","fully-qualified",116
"☹️","Frowning_Face","2639 FE0F","fully-qualified",85
"☺️","Smiling_Face","263A FE0F","fully-qualified",20
"🏳","White_Flag","1F3F3","unqualified",4955
"🏴","Black_Flag","1F3F4","fully-qualified",4953
"🎌","Crossed_Flags","1F38C","fully-qualified",4952
"🚩","Triangular_Flag","1F6A9","fully-qualified",4951
"🏁","Chequered_Flag","1F3C1","fully-qualified",4950
"🔲","Black_Square_Button","1F532","fully-qualified",4949
"🔳","White_Square_Button","1F533","fully-qualified",4948
"🔘","Radio_Button","1F518","fully-qualified",4947
"💠","Diamond_With_A_Dot","1F4A0","fully-qualified",4946
"🔻","Red_Triangle_Pointed_Down","1F53B","fully-qualified",4945
"🔺","Red_Triangle_Pointed_Up","1F53A","fully-qualified",4944
"🔹","Small_Blue_Diamond","1F539","fully-qualified",4943
"🔸","Small_Orange_Diamond","1F538","fully-qualified",4942
"🔷","Large_Blue_Diamond","1F537","fully-qualified",4941
"🔶","Large_Orange_Diamond","1F536","fully-qualified",4940
"▫","White_Small_Square","25AB","unqualified",4939
"▪","Black_Small_Square","25AA","unqualified",4937
"◽","White_Medium-Small_Square","25FD","fully-qualified",4935
"◾","Black_Medium-Small_Square","25FE","fully-qualified",4934
"◻","White_Medium_Square","25FB","unqualified",4933
"◼","Black_Medium_Square","25FC","unqualified",4931
"⬜","White_Large_Square","2B1C","fully-qualified",4929
"⬛","Black_Large_Square","2B1B","fully-qualified",4928
"🟫","Brown_Square","1F7EB","fully-qualified",4927
"🟪","Purple_Square","1F7EA","fully-qualified",4926
"🟦","Blue_Square","1F7E6","fully-qualified",4925
"🟩","Green_Square","1F7E9","fully-qualified",4924
"🟨","Yellow_Square","1F7E8","fully-qualified",4923
"🟧","Orange_Square","1F7E7","fully-qualified",4922
"🟥","Red_Square","1F7E5","fully-qualified",4921
"⚪","White_Circle","26AA","fully-qualified",4920
"⚫","Black_Circle","26AB","fully-qualified",4919
"🟤","Brown_Circle","1F7E4","fully-qualified",4918
"🟣","Purple_Circle","1F7E3","fully-qualified",4917
"🔵","Blue_Circle","1F535","fully-qualified",4916
"🟢","Green_Circle","1F7E2","fully-qualified",4915
"🟡","Yellow_Circle","1F7E1","fully-qualified",4914
"🟠","Orange_Circle","1F7E0","fully-qualified",4913
"🔴","Red_Circle","1F534","fully-qualified",4912
"🈵","Japanese_“No_Vacancy”_Button","1F235","fully-qualified",4911
"🈺","Japanese_“Open_For_Business”_Button","1F23A","fully-qualified",4910
"㊙","Japanese_“Secret”_Button","3299","unqualified",4909
"㊗","Japanese_“Congratulations”_Button","3297","unqualified",4907
"🈳","Japanese_“Vacancy”_Button","1F233","fully-qualified",4905
"🈴","Japanese_“Passing_Grade”_Button","1F234","fully-qualified",4904
"🈸","Japanese_“Application”_Button","1F238","fully-qualified",4903
"🉑","Japanese_“Acceptable”_Button","1F251","fully-qualified",4902
"🈲","Japanese_“Prohibited”_Button","1F232","fully-qualified",4901
"🈚","Japanese_“Free_Of_Charge”_Button","1F21A","fully-qualified",4900
"🈹","Japanese_“Discount”_Button","1F239","fully-qualified",4899
"🉐","Japanese_“Bargain”_Button","1F250","fully-qualified",4898
"🈯","Japanese_“Reserved”_Button","1F22F","fully-qualified",4897
"🈶","Japanese_“Not_Free_Of_Charge”_Button","1F236","fully-qualified",4896
"🈷","Japanese_“Monthly_Amount”_Button","1F237","unqualified",4895
"🈂","Japanese_“Service_Charge”_Button","1F202","unqualified",4893
"🈁","Japanese_“Here”_Button","1F201","fully-qualified",4891
"🆚","Vs_Button","1F19A","fully-qualified",4890
"🆙","Up!_Button","1F199","fully-qualified",4889
"🆘","Sos_Button","1F198","fully-qualified",4888
"🅿","P_Button","1F17F","unqualified",4887
"🆗","Ok_Button","1F197","fully-qualified",4885
"🅾","O_Button_(Blood_Type)","1F17E","unqualified",4884
"🆖","Ng_Button","1F196","fully-qualified",4882
"🆕","New_Button","1F195","fully-qualified",4881
"Ⓜ","Circled_M","24C2","unqualified",4880
"🆔","Id_Button","1F194","fully-qualified",4878
"ℹ","Information","2139","unqualified",4877
"🆓","Free_Button","1F193","fully-qualified",4875
"🆒","Cool_Button","1F192","fully-qualified",4874
"🆑","Cl_Button","1F191","fully-qualified",4873
"🅱","B_Button_(Blood_Type)","1F171","unqualified",4872
"🆎","Ab_Button_(Blood_Type)","1F18E","fully-qualified",4870
"🅰","A_Button_(Blood_Type)","1F170","unqualified",4869
"🔤","Input_Latin_Letters","1F524","fully-qualified",4867
"🔣","Input_Symbols","1F523","fully-qualified",4866
"🔢","Input_Numbers","1F522","fully-qualified",4865
"🔡","Input_Latin_Lowercase","1F521","fully-qualified",4864
"🔠","Input_Latin_Uppercase","1F520","fully-qualified",4863
"🔟","Keycap:_10","1F51F","fully-qualified",4862
"🫟","Splatter","1FADF","fully-qualified",4837
"™","Trade_Mark","2122","unqualified",4836
"®","Registered","00AE","unqualified",4834
"©","Copyright","00A9","unqualified",4832
"❇","Sparkle","2747","unqualified",4830
"✴","Eight-Pointed_Star","2734","unqualified",4828
"✳","Eight-Spoked_Asterisk","2733","unqualified",4826
"〽","Part_Alternation_Mark","303D","unqualified",4824
"➿","Double_Curly_Loop","27BF","fully-qualified",4822
"➰","Curly_Loop","27B0","fully-qualified",4821
"❎","Cross_Mark_Button","274E","fully-qualified",4820
"❌","Cross_Mark","274C","fully-qualified",4819
"✔","Check_Mark","2714","unqualified",4818
"☑","Check_Box_With_Check","2611","unqualified",4816
"✅","Check_Mark_Button","2705","fully-qualified",4814
"⭕","Hollow_Red_Circle","2B55","fully-qualified",4813
"🔰","Japanese_Symbol_For_Beginner","1F530","fully-qualified",4812
"📛","Name_Badge","1F4DB","fully-qualified",4811
"🔱","Trident_Emblem","1F531","fully-qualified",4810
"⚜","Fleur-De-Lis","269C","unqualified",4809
"♻","Recycling_Symbol","267B","unqualified",4807
"⚕","Medical_Symbol","2695","unqualified",4805
"💲","Heavy_Dollar_Sign","1F4B2","fully-qualified",4803
"💱","Currency_Exchange","1F4B1","fully-qualified",4802
"〰","Wavy_Dash","3030","unqualified",4801
"❗","Red_Exclamation_Mark","2757","fully-qualified",4799
"❕","White_Exclamation_Mark","2755","fully-qualified",4798
"❔","White_Question_Mark","2754","fully-qualified",4797
"❓","Red_Question_Mark","2753","fully-qualified",4796
"⁉","Exclamation_Question_Mark","2049","unqualified",4795
"‼","Double_Exclamation_Mark","203C","unqualified",4793
"♾","Infinity","267E","unqualified",4791
"🟰","Heavy_Equals_Sign","1F7F0","fully-qualified",4789
"➗","Divide","2797","fully-qualified",4788
"➖","Minus","2796","fully-qualified",4787
"➕","Plus","2795","fully-qualified",4786
"✖","Multiply","2716","unqualified",4785
"⚧","Transgender_Symbol","26A7","unqualified",4783
"♂","Male_Sign","2642","unqualified",4781
"♀","Female_Sign","2640","unqualified",4779
"📴","Mobile_Phone_Off","1F4F4","fully-qualified",4777
"📳","Vibration_Mode","1F4F3","fully-qualified",4776
"🛜","Wireless","1F6DC","fully-qualified",4775
"📶","Antenna_Bars","1F4F6","fully-qualified",4774
"🔆","Bright_Button","1F506","fully-qualified",4773
"🔅","Dim_Button","1F505","fully-qualified",4772
"🎦","Cinema","1F3A6","fully-qualified",4771
"⏏","Eject_Button","23CF","unqualified",4770
"⏺","Record_Button","23FA","unqualified",4768
"⏹","Stop_Button","23F9","unqualified",4766
"⏸","Pause_Button","23F8","unqualified",4764
"⏬","Fast_Down_Button","23EC","fully-qualified",4762
"🔽","Downwards_Button","1F53D","fully-qualified",4761
"⏫","Fast_Up_Button","23EB","fully-qualified",4760
"🔼","Upwards_Button","1F53C","fully-qualified",4759
"⏮","Last_Track_Button","23EE","unqualified",4758
"⏪","Fast_Reverse_Button","23EA","fully-qualified",4756
"◀","Reverse_Button","25C0","unqualified",4755
"⏯","Play_Or_Pause_Button","23EF","unqualified",4753
"⏭","Next_Track_Button","23ED","unqualified",4751
"⏩","Fast-Forward_Button","23E9","fully-qualified",4749
"▶","Play_Button","25B6","unqualified",4748
"🔂","Repeat_Single_Button","1F502","fully-qualified",4746
"🔁","Repeat_Button","1F501","fully-qualified",4745
"🔀","Shuffle_Tracks_Button","1F500","fully-qualified",4744
"⛎","Ophiuchus","26CE","fully-qualified",4743
"♓","Pisces","2653","fully-qualified",4742
"♒","Aquarius","2652","fully-qualified",4741
"♑","Capricorn","2651","fully-qualified",4740
"♐","Sagittarius","2650","fully-qualified",4739
"♏","Scorpio","264F","fully-qualified",4738
"♎","Libra","264E","fully-qualified",4737
"♍","Virgo","264D","fully-qualified",4736
"♌","Leo","264C","fully-qualified",4735
"♋","Cancer","264B","fully-qualified",4734
"♊","Gemini","264A","fully-qualified",4733
"♉","Taurus","2649","fully-qualified",4732
"♈","Aries","2648","fully-qualified",4731
"🪯","Khanda","1FAAF","fully-qualified",4730
"🔯","Dotted_Six-Pointed_Star","1F52F","fully-qualified",4729
"🕎","Menorah","1F54E","fully-qualified",4728
"☮","Peace_Symbol","262E","unqualified",4727
"☪","Star_And_Crescent","262A","unqualified",4725
"☦","Orthodox_Cross","2626","unqualified",4723
"✝","Latin_Cross","271D","unqualified",4721
"☯","Yin_Yang","262F","unqualified",4719
"☸","Wheel_Of_Dharma","2638","unqualified",4717
"✡","Star_Of_David","2721","unqualified",4715
"🕉","Om","1F549","unqualified",4713
"⚛","Atom_Symbol","269B","unqualified",4711
"🛐","Place_Of_Worship","1F6D0","fully-qualified",4709
"🔝","Top_Arrow","1F51D","fully-qualified",4708
"🔜","Soon_Arrow","1F51C","fully-qualified",4707
"🔛","On!_Arrow","1F51B","fully-qualified",4706
"🔚","End_Arrow","1F51A","fully-qualified",4705
"🔙","Back_Arrow","1F519","fully-qualified",4704
"🔄","Counterclockwise_Arrows_Button","1F504","fully-qualified",4703
"🔃","Clockwise_Vertical_Arrows","1F503","fully-qualified",4702
"⤵","Right_Arrow_Curving_Down","2935","unqualified",4701
"⤴","Right_Arrow_Curving_Up","2934","unqualified",4699
"↪","Left_Arrow_Curving_Right","21AA","unqualified",4697
"↩","Right_Arrow_Curving_Left","21A9","unqualified",4695
"↔","Left-Right_Arrow","2194","unqualified",4693
"↕","Up-Down_Arrow","2195","unqualified",4691
"↖","Up-Left_Arrow","2196","unqualified",4689
"⬅","Left_Arrow","2B05","unqualified",4687
"↙","Down-Left_Arrow","2199","unqualified",4685
"⬇","Down_Arrow","2B07","unqualified",4683
"↘","Down-Right_Arrow","2198","unqualified",4681
"➡","Right_Arrow","27A1","unqualified",4679
"↗","Up-Right_Arrow","2197","unqualified",4677
"⬆","Up_Arrow","2B06","unqualified",4675
"☣","Biohazard","2623","unqualified",4673
"☢","Radioactive","2622","unqualified",4671
"🔞","No_One_Under_Eighteen","1F51E","fully-qualified",4669
"📵","No_Mobile_Phones","1F4F5","fully-qualified",4668
"🚷","No_Pedestrians","1F6B7","fully-qualified",4667
"🚱","Non-Potable_Water","1F6B1","fully-qualified",4666
"🚯","No_Littering","1F6AF","fully-qualified",4665
"🚭","No_Smoking","1F6AD","fully-qualified",4664
"🚳","No_Bicycles","1F6B3","fully-qualified",4663
"🚫","Prohibited","1F6AB","fully-qualified",4662
"⛔","No_Entry","26D4","fully-qualified",4661
"🚸","Children_Crossing","1F6B8","fully-qualified",4660
"⚠","Warning","26A0","unqualified",4659
"🛅","Left_Luggage","1F6C5","fully-qualified",4657
"🛄","Baggage_Claim","1F6C4","fully-qualified",4656
"🛃","Customs","1F6C3","fully-qualified",4655
"🛂","Passport_Control","1F6C2","fully-qualified",4654
"🚾","Water_Closet","1F6BE","fully-qualified",4653
"🚼","Baby_Symbol","1F6BC","fully-qualified",4652
"🚻","Restroom","1F6BB","fully-qualified",4651
"🚺","Women’s_Room","1F6BA","fully-qualified",4650
"🚹","Men’s_Room","1F6B9","fully-qualified",4649
"♿","Wheelchair_Symbol","267F","fully-qualified",4648
"🚰","Potable_Water","1F6B0","fully-qualified",4647
"🚮","Litter_In_Bin_Sign","1F6AE","fully-qualified",4646
"🏧","Atm_Sign","1F3E7","fully-qualified",4645
"🪪","Identification_Card","1FAAA","fully-qualified",4644
"🪧","Placard","1FAA7","fully-qualified",4643
"🗿","Moai","1F5FF","fully-qualified",4642
"🪬","Hamsa","1FAAC","fully-qualified",4641
"🧿","Nazar_Amulet","1F9FF","fully-qualified",4640
"⚱","Funeral_Urn","26B1","unqualified",4639
"🪦","Headstone","1FAA6","fully-qualified",4637
"⚰","Coffin","26B0","unqualified",4636
"🚬","Cigarette","1F6AC","fully-qualified",4634
"🛒","Shopping_Cart","1F6D2","fully-qualified",4633
"🧯","Fire_Extinguisher","1F9EF","fully-qualified",4632
"🧽","Sponge","1F9FD","fully-qualified",4631
"🪥","Toothbrush","1FAA5","fully-qualified",4630
"🫧","Bubbles","1FAE7","fully-qualified",4629
"🧼","Soap","1F9FC","fully-qualified",4628
"🪣","Bucket","1FAA3","fully-qualified",4627
"🧻","Roll_Of_Paper","1F9FB","fully-qualified",4626
"🧺","Basket","1F9FA","fully-qualified",4625
"🧹","Broom","1F9F9","fully-qualified",4624
"🧷","Safety_Pin","1F9F7","fully-qualified",4623
"🧴","Lotion_Bottle","1F9F4","fully-qualified",4622
"🪒","Razor","1FA92","fully-qualified",4621
"🪤","Mouse_Trap","1FAA4","fully-qualified",4620
"🛁","Bathtub","1F6C1","fully-qualified",4619
"🚿","Shower","1F6BF","fully-qualified",4618
"🪠","Plunger","1FAA0","fully-qualified",4617
"🚽","Toilet","1F6BD","fully-qualified",4616
"🪑","Chair","1FA91","fully-qualified",4615
"🛋","Couch_And_Lamp","1F6CB","unqualified",4614
"🛏","Bed","1F6CF","unqualified",4612
"🪟","Window","1FA9F","fully-qualified",4610
"🪞","Mirror","1FA9E","fully-qualified",4609
"🛗","Elevator","1F6D7","fully-qualified",4608
"🚪","Door","1F6AA","fully-qualified",4607
"🩻","X-Ray","1FA7B","fully-qualified",4606
"🩺","Stethoscope","1FA7A","fully-qualified",4605
"🩼","Crutch","1FA7C","fully-qualified",4604
"🩹","Adhesive_Bandage","1FA79","fully-qualified",4603
"💊","Pill","1F48A","fully-qualified",4602
"🩸","Drop_Of_Blood","1FA78","fully-qualified",4601
"💉","Syringe","1F489","fully-qualified",4600
"📡","Satellite_Antenna","1F4E1","fully-qualified",4599
"🔭","Telescope","1F52D","fully-qualified",4598
"🔬","Microscope","1F52C","fully-qualified",4597
"🧬","Dna","1F9EC","fully-qualified",4596
"🧫","Petri_Dish","1F9EB","fully-qualified",4595
"🧪","Test_Tube","1F9EA","fully-qualified",4594
"⚗","Alembic","2697","unqualified",4593
"🪏","Shovel","1FA8F","fully-qualified",4591
"🪜","Ladder","1FA9C","fully-qualified",4590
"🧲","Magnet","1F9F2","fully-qualified",4589
"🧰","Toolbox","1F9F0","fully-qualified",4588
"🪝","Hook","1FA9D","fully-qualified",4587
"⛓","Chains","26D3","unqualified",4586
"🔗","Link","1F517","fully-qualified",4582
"🦯","White_Cane","1F9AF","fully-qualified",4581
"⚖","Balance_Scale","2696","unqualified",4580
"🗜","Clamp","1F5DC","unqualified",4578
"⚙","Gear","2699","unqualified",4576
"🔩","Nut_And_Bolt","1F529","fully-qualified",4574
"🪛","Screwdriver","1FA9B","fully-qualified",4573
"🔧","Wrench","1F527","fully-qualified",4572
"🪚","Carpentry_Saw","1FA9A","fully-qualified",4571
"🛡","Shield","1F6E1","unqualified",4570
"🏹","Bow_And_Arrow","1F3F9","fully-qualified",4568
"🪃","Boomerang","1FA83","fully-qualified",4567
"💣","Bomb","1F4A3","fully-qualified",4566
"⚔","Crossed_Swords","2694","unqualified",4565
"🗡","Dagger","1F5E1","unqualified",4563
"🛠","Hammer_And_Wrench","1F6E0","unqualified",4561
"⚒","Hammer_And_Pick","2692","unqualified",4559
"⛏","Pick","26CF","unqualified",4557
"🪓","Axe","1FA93","fully-qualified",4555
"🔨","Hammer","1F528","fully-qualified",4554
"🗝","Old_Key","1F5DD","unqualified",4553
"🔑","Key","1F511","fully-qualified",4551
"🔐","Locked_With_Key","1F510","fully-qualified",4550
"🔏","Locked_With_Pen","1F50F","fully-qualified",4549
"🔓","Unlocked","1F513","fully-qualified",4548
"🔒","Locked","1F512","fully-qualified",4547
"🗑","Wastebasket","1F5D1","unqualified",4546
"🗄","File_Cabinet","1F5C4","unqualified",4544
"🗃","Card_File_Box","1F5C3","unqualified",4542
"✂","Scissors","2702","unqualified",4540
"📐","Triangular_Ruler","1F4D0","fully-qualified",4538
"📏","Straight_Ruler","1F4CF","fully-qualified",4537
"🖇","Linked_Paperclips","1F587","unqualified",4536
"📎","Paperclip","1F4CE","fully-qualified",4534
"📍","Round_Pushpin","1F4CD","fully-qualified",4533
"📌","Pushpin","1F4CC","fully-qualified",4532
"📋","Clipboard","1F4CB","fully-qualified",4531
"📊","Bar_Chart","1F4CA","fully-qualified",4530
"📉","Chart_Decreasing","1F4C9","fully-qualified",4529
"📈","Chart_Increasing","1F4C8","fully-qualified",4528
"📇","Card_Index","1F4C7","fully-qualified",4527
"🗓","Spiral_Calendar","1F5D3","unqualified",4526
"🗒","Spiral_Notepad","1F5D2","unqualified",4524
"📆","Tear-Off_Calendar","1F4C6","fully-qualified",4522
"📅","Calendar","1F4C5","fully-qualified",4521
"🗂","Card_Index_Dividers","1F5C2","unqualified",4520
"📂","Open_File_Folder","1F4C2","fully-qualified",4518
"📁","File_Folder","1F4C1","fully-qualified",4517
"💼","Briefcase","1F4BC","fully-qualified",4516
"📝","Memo","1F4DD","fully-qualified",4515
"🖍","Crayon","1F58D","unqualified",4514
"🖌","Paintbrush","1F58C","unqualified",4512
"🖊","Pen","1F58A","unqualified",4510
"🖋","Fountain_Pen","1F58B","unqualified",4508
"✒","Black_Nib","2712","unqualified",4506
"✏","Pencil","270F","unqualified",4504
"🗳","Ballot_Box_With_Ballot","1F5F3","unqualified",4502
"📮","Postbox","1F4EE","fully-qualified",4500
"📭","Open_Mailbox_With_Lowered_Flag","1F4ED","fully-qualified",4499
"📬","Open_Mailbox_With_Raised_Flag","1F4EC","fully-qualified",4498
"📪","Closed_Mailbox_With_Lowered_Flag","1F4EA","fully-qualified",4497
"📫","Closed_Mailbox_With_Raised_Flag","1F4EB","fully-qualified",4496
"📦","Package","1F4E6","fully-qualified",4495
"📥","Inbox_Tray","1F4E5","fully-qualified",4494
"📤","Outbox_Tray","1F4E4","fully-qualified",4493
"📩","Envelope_With_Arrow","1F4E9","fully-qualified",4492
"📨","Incoming_Envelope","1F4E8","fully-qualified",4491
"📧","E-Mail","1F4E7","fully-qualified",4490
"✉","Envelope","2709","unqualified",4489
"💹","Chart_Increasing_With_Yen","1F4B9","fully-qualified",4487
"🧾","Receipt","1F9FE","fully-qualified",4486
"💳","Credit_Card","1F4B3","fully-qualified",4485
"💸","Money_With_Wings","1F4B8","fully-qualified",4484
"💷","Pound_Banknote","1F4B7","fully-qualified",4483
"💶","Euro_Banknote","1F4B6","fully-qualified",4482
"💵","Dollar_Banknote","1F4B5","fully-qualified",4481
"💴","Yen_Banknote","1F4B4","fully-qualified",4480
"🪎","Treasure_Chest","1FA8E","fully-qualified",4479
"💰","Money_Bag","1F4B0","fully-qualified",4478
"🪙","Coin","1FA99","fully-qualified",4477
"🏷","Label","1F3F7","unqualified",4476
"🔖","Bookmark","1F516","fully-qualified",4474
"📑","Bookmark_Tabs","1F4D1","fully-qualified",4473
"🗞","Rolled-Up_Newspaper","1F5DE","unqualified",4472
"📰","Newspaper","1F4F0","fully-qualified",4470
"📄","Page_Facing_Up","1F4C4","fully-qualified",4469
"📜","Scroll","1F4DC","fully-qualified",4468
"📃","Page_With_Curl","1F4C3","fully-qualified",4467
"📒","Ledger","1F4D2","fully-qualified",4466
"📓","Notebook","1F4D3","fully-qualified",4465
"📚","Books","1F4DA","fully-qualified",4464
"📙","Orange_Book","1F4D9","fully-qualified",4463
"📘","Blue_Book","1F4D8","fully-qualified",4462
"📗","Green_Book","1F4D7","fully-qualified",4461
"📖","Open_Book","1F4D6","fully-qualified",4460
"📕","Closed_Book","1F4D5","fully-qualified",4459
"📔","Notebook_With_Decorative_Cover","1F4D4","fully-qualified",4458
"🪔","Diya_Lamp","1FA94","fully-qualified",4457
"🏮","Red_Paper_Lantern","1F3EE","fully-qualified",4456
"🔦","Flashlight","1F526","fully-qualified",4455
"💡","Light_Bulb","1F4A1","fully-qualified",4454
"🕯","Candle","1F56F","unqualified",4453
"🔎","Magnifying_Glass_Tilted_Right","1F50E","fully-qualified",4451
"🔍","Magnifying_Glass_Tilted_Left","1F50D","fully-qualified",4450
"📼","Videocassette","1F4FC","fully-qualified",4449
"📹","Video_Camera","1F4F9","fully-qualified",4448
"📸","Camera_With_Flash","1F4F8","fully-qualified",4447
"📷","Camera","1F4F7","fully-qualified",4446
"📺","Television","1F4FA","fully-qualified",4445
"🎬","Clapper_Board","1F3AC","fully-qualified",4444
"📽","Film_Projector","1F4FD","unqualified",4443
"🎞","Film_Frames","1F39E","unqualified",4441
"🎥","Movie_Camera","1F3A5","fully-qualified",4439
"🧮","Abacus","1F9EE","fully-qualified",4438
"📀","Dvd","1F4C0","fully-qualified",4437
"💿","Optical_Disk","1F4BF","fully-qualified",4436
"💾","Floppy_Disk","1F4BE","fully-qualified",4435
"💽","Computer_Disk","1F4BD","fully-qualified",4434
"🖲","Trackball","1F5B2","unqualified",4433
"🖱","Computer_Mouse","1F5B1","unqualified",4431
"⌨","Keyboard","2328","unqualified",4429
"🖨","Printer","1F5A8","unqualified",4427
"🖥","Desktop_Computer","1F5A5","unqualified",4425
"💻","Laptop","1F4BB","fully-qualified",4423
"🔌","Electric_Plug","1F50C","fully-qualified",4422
"🪫","Low_Battery","1FAAB","fully-qualified",4421
"🔋","Battery","1F50B","fully-qualified",4420
"📠","Fax_Machine","1F4E0","fully-qualified",4419
"📟","Pager","1F4DF","fully-qualified",4418
"📞","Telephone_Receiver","1F4DE","fully-qualified",4417
"☎","Telephone","260E","unqualified",4416
"📲","Mobile_Phone_With_Arrow","1F4F2","fully-qualified",4414
"📱","Mobile_Phone","1F4F1","fully-qualified",4413
"🪉","Harp","1FA89","fully-qualified",4412
"🪈","Flute","1FA88","fully-qualified",4411
"🪇","Maracas","1FA87","fully-qualified",4410
"🪘","Long_Drum","1FA98","fully-qualified",4409
"🥁","Drum","1F941","fully-qualified",4408
"🪕","Banjo","1FA95","fully-qualified",4407
"🎻","Violin","1F3BB","fully-qualified",4406
"🎹","Musical_Keyboard","1F3B9","fully-qualified",4405
"🎸","Guitar","1F3B8","fully-qualified",4404
"🪗","Accordion","1FA97","fully-qualified",4403
"🪊","Trombone","1FA8A","fully-qualified",4402
"🎺","Trumpet","1F3BA","fully-qualified",4401
"🎷","Saxophone","1F3B7","fully-qualified",4400
"📻","Radio","1F4FB","fully-qualified",4399
"🎧","Headphone","1F3A7","fully-qualified",4398
"🎤","Microphone","1F3A4","fully-qualified",4397
"🎛","Control_Knobs","1F39B","unqualified",4396
"🎚","Level_Slider","1F39A","unqualified",4394
"🎙","Studio_Microphone","1F399","unqualified",4392
"🎶","Musical_Notes","1F3B6","fully-qualified",4390
"🎵","Musical_Note","1F3B5","fully-qualified",4389
"🎼","Musical_Score","1F3BC","fully-qualified",4388
"🔕","Bell_With_Slash","1F515","fully-qualified",4387
"🔔","Bell","1F514","fully-qualified",4386
"📯","Postal_Horn","1F4EF","fully-qualified",4385
"📣","Megaphone","1F4E3","fully-qualified",4384
"📢","Loudspeaker","1F4E2","fully-qualified",4383
"🔊","Speaker_High_Volume","1F50A","fully-qualified",4382
"🔉","Speaker_Medium_Volume","1F509","fully-qualified",4381
"🔈","Speaker_Low_Volume","1F508","fully-qualified",4380
"🔇","Muted_Speaker","1F507","fully-qualified",4379
"💎","Gem_Stone","1F48E","fully-qualified",4378
"💍","Ring","1F48D","fully-qualified",4377
